,Filename,Path,Score,Time
0,TSPC.csv,"[ 96  27 116 147  59 143 159 164 178  19  69   0 149  50  43  77   4 192
 199  41 177   1  75 189 109 119 130 152  11  48  92  26   8 169  95  31
  73  89  94  12  72 190 112   5  51 135  99 101  60 167 175 114 121  91
 161 153  88 127 186  45  24  66  98 156 172   6 141 144  87  79 194  21
 157 171 154  81 180  32  62 108  15 117  53  22 195  55  36 132 128  37
  25 181 113  74 163  61  71  20  64 185]",47864,200.9919879436493
1,TSPC.csv,"[ 66  98 190  72  94  12  73  31  95 169   8  26  92  48  11 152   1 177
  41 137 174  75 189 109 119 134 135  99 101 167 153  88 127 186 170 157
  21  79 194 171 108  15 117  53  18  22 195  55  36 132 128 145  76 161
  91 121 114   2   4  77  43  50 149   0 115  69  19 178 164  34 159 143
  59 147 116  27  96 185  64  20  71  61 113 163  74 138 155  93  62  32
 180  81 154 102 144  87 141   6 156 172]",47887,200.3588478565216
2,TSPC.csv,"[108 171 194  79  21 157 170 153  88 127 186  45 167 175 114  91 121  50
 149   0  69  19  35  43  77   4 192 199 137  41 177   1  75 189 109 130
 152  11 160 106  48  92 119 134 135  51   5 112  95 169 110   8  80  31
  73  12  94  72 190  98  66 156   6 141  87 144 154  81 180  32  62 155
 163  74 113 181  25  61  71  20  64 185 116  27 147  96  59 143 159 178
 164 128 132  36  55 195  22  53 117  15]",47793,200.3513629436493
3,TSPC.csv,"[ 64 185  96  27 116 147  59 143 159  34 164 178  19  69   0 149  50 121
  91 114   2   4  77  43 192 150 199 137  41 177   1  75 189 109 119 130
 152  11  48  92  26   8 123  80 124 169  95  31  73  12  94  72 112  51
 135  99 101 167 153  88 127 186  45  66  98 156   6 141 144  87  79 194
  21 171 154  81 180  32  62  93 155  53  18 108  15 117  22 195  55  36
 132 128  25 181 113  74 163  61  71  20]",48311,200.84540700912476
4,TSPC.csv,"[143 159 164 178  19  69   0 149  50  43  77   4 192 150 199 137  41 177
   1  75 189 109 119 130 152  11 160 106  48  92  26   8 110 169  95  31
  73  12  94  98   6  66 190  72 112  51 135  99 101  60 167 175 114 121
  91  76 161 153  88 127 186 170 157  21 194  79  87 141 144 102 154  81
 180  32  62 108 171  15 117  53  18  22 195  55  36 128 132 113  74 163
  61  71  20  64 185  96  27 116 147  59]",47540,200.82955479621887
5,TSPC.csv,"[ 31  73  89  42  94  12  72 190  98  66 172 156   6 141  87 144 102 154
  81 180  32  62  53  22 117 171  21 194  79 186 127  88 153 161  76 145
 128 132  36  55 195 113  74 163  71  20  64 185  27 147  96  59 143 159
 164 178  19  69   0 149  50 121  91 114   4  77  43 192 199 137  41   1
 177 174  75 189 130 152  11 160 198 106  48 119 109 126  60 167 101  99
 135  51 112  95 169 110   8 123 124  80]",47868,200.06367015838623
6,TSPC.csv,"[ 91 114   4  77  43 192 199  41 177   1 152  11  48  92 130 119 109 189
  75  60 167 101  99 135  51   5 112  95 169 110   8 123 124  80  14 111
  31  73  12  94  72 190  98  66 172 156   6 141  87 144 102 154  81 180
  32  62  53 117  15 108 171  21 194  79 186 127  88 153 161  76 145 128
 132  36  55  22 195 113  74 163  61  71  20  64 185  96  27 116 147  59
 143 159 164 178  19  69   0 149  50 121]",47179,200.50149297714233
7,TSPC.csv,"[164 178  19  69   0 149  50 121  91 114   4  77  43 192 150 199 137  41
 177   1  75 189 130 152  11  48  92 119 109 126  60 167 101  99 135  51
 112  95 169   8 124  80  31  73  12  94  72 190  98  66 172 156   6 141
  87 144 154  81 180  32  62  53  22 117  15 108 171  21 194  79 186 127
  88 153 161  76 145 128 118 132  36  55 195 138  74 163 113  61  71  20
  64 185 116  27 147  96  59 143 159  34]",47689,200.32833623886108
8,TSPC.csv,"[ 22 195  55  36 132 128 145  76 161 153  88 127 186  45 167 101  99 135
  51   5 112  66   6 172 156  98 190  72  94  12  73  31  95 169   8  26
  92  48  11 152 130 119 109 189  75   1 177  41 137 199 192  43  77   4
 114  91 121  50 149   0  69  19 178 164  34 159 143  59 147 116  27  96
 185  64  20  71  61 113  74 163 155  93  62  32 180  81 154 102 144 141
  87  79 194  21 157 171 108  15 117  53]",47009,200.00821805000305
9,TSPC.csv,"[ 21 194  79  87 144 141   6 156 172  66  98 190  72  12  94  89  31  73
 112   5  51 135 196  95 169 124  80 123   8  26  92  48 106  11 152   1
 177  41 137 199  39 174  75 189 109 119 134  99 101 167  45 186 127  88
 153 161  76  91 121 114   2   4  77  43  50 149   0  69  19 178 164 159
 143  59 147 116  27  96 185  64  20  71  61 163  74 113 132  36  55 195
  22  53 117  15 108  62  32 180  81 171]",47614,200.1185998916626
