,Filename,Path,Score,Time
0,TSPB.csv,"[101  31 197 183  34   5   2 182 172  95 135 198 190  19  33  29  18  16
   8  63  82 115  69  53 141 130 148 140 188 174  51  70  91 156 142  21
 192 196 117  44 150 162 158  67 114  85  72 171  58  89 129  64 159 147
 181 170 189  59 119  71 139 107  12  52 132 185  73  61 136  79 145 157
  80 153   4  55  88 137  37 165  36  25 134 154 112 152  50  99 169  66
  92 122 143 179 127  24 121 131 103  38]",67235,200.7000629901886
1,TSPB.csv,"[163 182   2   5  34 183 197 143 179 121  31 101  38 103 131  24 127 122
  92  26  66 169   0  57  99  50 152 112 154 134  25  36 165  37 137  88
  55   4 153  80 157 145  79 136 170 181 147 159  64 129  89  58 171  72
  85 166 114  67 156  91  70  51 174 188 140 148 141 130 142  21 192 196
 117 150 162  44  71  59 119 193 139 107  12  52  18 132 185  73  33  19
 190 198 135  95 172  16   8  63  82 115]",66955,200.47255325317383
2,TSPB.csv,"[150 117 196 192  21 142 130 141 148 140 188 174  51  70  91 156  67 114
  85  72  58  89 129  64 159 147 181 189 170  73  61 136  79 145 157  80
 153   4  55  88 137  37 165  36  25 134 154 112  50  24 127 121 131 103
  38 101  31  34 183 197 179 143 122  92  99  57   0 169  66   5   2 182
 172  95 135 198 190  19  33  29  18  16 115  82  63   8  14  52 132 185
  12 107 139 193 119  59  71  44 162 158]",67124,200.49686098098755
3,TSPB.csv,"[ 70  51 174 140 148 141 130 142  53  69 115  82  63   8  16 172  95  19
 190 198 135  57  99 169  66 128   5  34 183 197  92 122 143 179  31 101
  38 103 131 121 127  24  50 152 112 154 134  25  36 123 165  37 137  88
  55 153  80 157 145  79 136  61  73  33  29  18 185 132  52  12 107 139
 193  71 119  59 189 181 147 159  64 129  89  58  72 114  85 166  44 196
  21 192 117 150 162 158  67   3 156  91]",67122,200.61981010437012
4,TSPB.csv,"[183 197 179 143 122 127  24 121  31 101  38 103 131  50 112 154 134  25
  36 123 165  37 137  88  55 153  80 157 145  79 136  73  33  29  18 132
 185 189 170 181 147 159  64 129  89  58  72  85 114  67 156  91  70  51
 174 140 148 141 130 142  53 113  69 115  82  63   8  21 192 196 117 150
 162  44  71  59 119 193 139 107  12  52  16 172  95  19 190 198 135   0
  57  99  92 169  66 128   5 182   2  34]",67464,200.86815786361694
5,TSPB.csv,"[183  34  31 101  38 103 131  50  99   0  57 137 165  37 102 112 154 134
  25  36  88  55   4 153  80 157 145  19 190 198 135  95 172  29  33 136
  73 185  47 189 170 181 147 159  64 129  89  58  72 114  85 166 162  67
 156  91  70  51 174 140 148 141 130 142  21 192 196 117 150  44  71  59
 119 193 139 107  12  52 132  18  16   8  63  82 115 163 182   2   5 128
  66 169  92 122 143 127  24 121 179 197]",67593,200.29708313941956
6,TSPB.csv,"[198 190  19 145 157  80 153  55  88 137  37 165  36  25 134 154 112 152
  50 131 103  38 101  31  34 183 197 143 179 121  24 127 122  92  99  57
   0 169  66 128   5   2 182 163   8  63 115  82  53 142 130 141 148 140
 174  51  70  91 156   3  67 158 162 150 117 192 196  44  71 193 119  59
 166  85 114  72 171  58  89 129  64 159 147 181 170 189 107  12 132 185
  73 136  33  29  18  52  16 172  95 135]",66846,200.4541618824005
7,TSPB.csv,"[157  80  57 135 198 190  19  33  73  61 136 170 181 189  12 107 139 193
 119  59  71  28 166  85 129  64 147 159  89  58  72 114  67 158 162 150
  44 117 196 192  21 142 130 174  51  91  70 140 148 141  53  69 115  82
  63   8  14  52 132 185  29  18  16 172  95 182   2   5 128  66 169  26
  34 183 197  92 122 143 179  31 101  38 103 131 121 127  24  50  99  37
 165 154 134  25  36 137  88  55 153 145]",67977,200.0879590511322
8,TSPB.csv,"[ 59 189 170 181 147 159  64 129  89  58  72 114  85 166  71  44 117 196
 192 150 162 158  67 156  91  70  51 174 140 148 141 130 142  53  69 115
  82  63   8  16  18  29  33  19 190 198 135  95 172 182   2   5  34 183
 197 143 179 121  31 101  38 103 131  24 127 122  92  26  66 169   0  57
  99  50 112 154 134  25  36 123 165  37 137  88  55 153  80 157 145 136
  73 185 132  52  12 107  97 139 193 119]",66808,200.4617838859558
9,TSPB.csv,"[ 82 115  40 163 182   2   5 128  66 169  99  92 122 143 179 197 183  34
  31 101  38 103 131 121 127  24  50 112 154 134  25  36 165  37 137  88
  55   4 153  80 157 145  19 190 198 135  95 172  16  18  29  33 136  61
  73 185 132 189  47 170 181 147 159  64 129  89  58  72  85 114  67   3
 156  91  70  51 174 140 148 141 130 142  21 192 196 117 150 162  44  71
  59 119 193 139  97 107  12  52   8  63]",66795,200.3257782459259
